Date,Adj Close
1980-12-12,0.421597
1980-12-15,0.399601
1980-12-16,0.370272
1980-12-17,0.379437
1980-12-18,0.390436
1980-12-19,0.414265
1980-12-22,0.434428
1980-12-23,0.452758
1980-12-24,0.476588
1980-12-26,0.520581
1980-12-29,0.527913
1980-12-30,0.515082
1980-12-31,0.500417
1981-01-02,0.505916
1981-01-05,0.494918
1981-01-06,0.472922
1981-01-07,0.452758
1981-01-08,0.443594
1981-01-09,0.467423
1981-01-12,0.463757
1981-01-13,0.447260
1981-01-14,0.449092
1981-01-15,0.458258
1981-01-16,0.454591
1981-01-19,0.482087
1981-01-20,0.467423
1981-01-21,0.476588
1981-01-22,0.482087
1981-01-23,0.480254
1981-01-26,0.472922
1981-01-27,0.469256
1981-01-28,0.454591
1981-01-29,0.438094
1981-01-30,0.414265
1981-02-02,0.390436
1981-02-03,0.405100
1981-02-04,0.419764
1981-02-05,0.419764
1981-02-06,0.421597
1981-02-09,0.399601
1981-02-10,0.399601
1981-02-11,0.386769
1981-02-12,0.383103
1981-02-13,0.373938
1981-02-17,0.383103
1981-02-18,0.399601
1981-02-19,0.375771
1981-02-20,0.355608
1981-02-23,0.361107
1981-02-24,0.348276
1981-02-25,0.370272
1981-02-26,0.375771
1981-02-27,0.388602
1981-03-02,0.390436
1981-03-03,0.384936
1981-03-04,0.381270
1981-03-05,0.379437
1981-03-06,0.375771
1981-03-09,0.346443
1981-03-10,0.329946
1981-03-11,0.317114
1981-03-12,0.329946
1981-03-13,0.326280
1981-03-16,0.339111
1981-03-17,0.355608
1981-03-18,0.377604
1981-03-19,0.373938
1981-03-20,0.377604
1981-03-23,0.392269
1981-03-24,0.390436
1981-03-25,0.383103
1981-03-26,0.375771
1981-03-27,0.362940
1981-03-30,0.362940
1981-03-31,0.359274
1981-04-01,0.355608
1981-04-02,0.386769
1981-04-03,0.388602
1981-04-06,0.381270
1981-04-07,0.377604
1981-04-08,0.395935
1981-04-09,0.403267
1981-04-10,0.408766
1981-04-13,0.408766
1981-04-14,0.408766
1981-04-15,0.388602
1981-04-16,0.366606
1981-04-20,0.377604
1981-04-21,0.403267
1981-04-22,0.417931
1981-04-23,0.428929
1981-04-24,0.425263
1981-04-27,0.421597
1981-04-28,0.414265
1981-04-29,0.408766
1981-04-30,0.416098
1981-05-01,0.416098
1981-05-04,0.414265
1981-05-05,0.412432
1981-05-06,0.401434
1981-05-07,0.406933
1981-05-08,0.410599
1981-05-11,0.401434
1981-05-12,0.401434
1981-05-13,0.399601
1981-05-14,0.394102
1981-05-15,0.403267
1981-05-18,0.410599
1981-05-19,0.403267
1981-05-20,0.416098
1981-05-21,0.439927
1981-05-22,0.460091
1981-05-26,0.458258
1981-05-27,0.483920
1981-05-28,0.483920
1981-05-29,0.485753
1981-06-01,0.485753
1981-06-02,0.461924
1981-06-03,0.461924
1981-06-04,0.471089
1981-06-05,0.463757
1981-06-08,0.447260
1981-06-09,0.456425
1981-06-10,0.461924
1981-06-11,0.482087
1981-06-12,0.476588
1981-06-15,0.474755
1981-06-16,0.465590
1981-06-17,0.458258
1981-06-18,0.456425
1981-06-19,0.443594
1981-06-22,0.427096
1981-06-23,0.434428
1981-06-24,0.423430
1981-06-25,0.432595
1981-06-26,0.427096
1981-06-29,0.412432
1981-06-30,0.381270
1981-07-01,0.377604
1981-07-02,0.377604
1981-07-06,0.364773
1981-07-07,0.368439
1981-07-08,0.383103
1981-07-09,0.353775
1981-07-10,0.326280
1981-07-13,0.333612
1981-07-14,0.348276
1981-07-15,0.357441
1981-07-16,0.366606
1981-07-17,0.379437
1981-07-20,0.353775
1981-07-21,0.351942
1981-07-22,0.331779
1981-07-23,0.340944
1981-07-24,0.351942
1981-07-27,0.366606
1981-07-28,0.353775
1981-07-29,0.348276
1981-07-30,0.361107
1981-07-31,0.366606
1981-08-03,0.362940
1981-08-04,0.368439
1981-08-05,0.379437
1981-08-06,0.370272
1981-08-07,0.370272
1981-08-10,null
1981-08-11,0.359274
1981-08-12,0.351942
1981-08-13,0.340944
1981-08-14,0.335445
1981-08-17,0.324447
1981-08-18,0.317114
1981-08-19,0.313448
1981-08-20,0.317114
1981-08-21,0.295118
1981-08-24,0.276788
1981-08-25,0.284120
1981-08-26,0.278621
1981-08-27,0.280454
1981-08-28,0.295118
1981-08-31,0.295118
1981-09-01,0.313448
1981-09-02,0.318947
1981-09-03,0.302450
1981-09-04,0.298784
1981-09-08,0.289619
1981-09-09,0.289619
1981-09-10,0.291452
1981-09-11,0.287786
1981-09-14,0.278621
1981-09-15,0.271289
1981-09-16,0.265790
1981-09-17,0.258457
1981-09-18,0.260290
1981-09-21,0.262124
1981-09-22,0.247459
1981-09-23,0.241960
1981-09-24,0.240127
1981-09-25,0.208966
1981-09-28,0.210798
1981-09-29,0.221797
1981-09-30,0.223630
1981-10-01,0.223630
1981-10-02,0.241960
1981-10-05,0.249292
1981-10-06,0.247459
1981-10-07,0.262124
1981-10-08,0.271289
1981-10-09,0.273122
1981-10-12,0.282287
1981-10-13,0.282287
1981-10-14,0.265790
1981-10-15,0.271289
1981-10-16,0.267622
1981-10-19,0.273122
1981-10-20,0.287786
1981-10-21,0.287786
1981-10-22,0.285953
1981-10-23,0.278621
1981-10-26,0.278621
1981-10-27,0.284120
1981-10-28,0.293285
1981-10-29,0.289619
1981-10-30,0.293285
1981-11-02,0.293285
1981-11-03,0.289619
1981-11-04,0.282287
1981-11-05,0.262124
1981-11-06,0.263956
1981-11-09,0.267622
1981-11-10,0.269455
1981-11-11,0.276788
1981-11-12,0.285953
1981-11-13,0.265790
1981-11-16,0.262124
1981-11-17,0.267622
1981-11-18,0.276788
1981-11-19,0.276788
1981-11-20,0.278621
1981-11-23,0.265790
1981-11-24,0.263956
1981-11-25,0.269455
1981-11-27,0.276788
1981-11-30,0.273122
1981-12-01,0.273122
1981-12-02,0.274955
1981-12-03,0.271289
1981-12-04,0.278621
1981-12-07,0.280454
1981-12-08,0.274955
1981-12-09,0.276788
1981-12-10,0.276788
1981-12-11,0.274955
1981-12-14,0.265790
1981-12-15,0.273122
1981-12-16,0.285953
1981-12-17,0.309782
1981-12-18,0.335445
1981-12-21,0.320780
1981-12-22,0.326280
1981-12-23,0.318947
1981-12-24,0.320780
1981-12-28,0.306116
1981-12-29,0.311615
1981-12-30,0.324447
1981-12-31,0.324447
1982-01-04,0.322613
1982-01-05,0.306116
1982-01-06,0.302450
1982-01-07,0.278621
1982-01-08,0.291452
1982-01-11,0.273122
1982-01-12,0.263956
1982-01-13,0.262124
1982-01-14,0.274955
1982-01-15,0.293285
1982-01-18,0.298784
1982-01-19,0.291452
1982-01-20,0.296951
1982-01-21,0.302450
1982-01-22,0.304283
1982-01-25,0.295118
1982-01-26,0.284120
1982-01-27,0.285953
1982-01-28,0.295118
1982-01-29,0.298784
1982-02-01,0.295118
1982-02-02,0.296951
1982-02-03,0.296951
1982-02-04,0.289619
1982-02-05,0.289619
1982-02-08,0.271289
1982-02-09,0.271289
1982-02-10,0.274955
1982-02-11,0.271289
1982-02-12,0.274955
1982-02-16,0.269455
1982-02-17,0.273122
1982-02-18,0.276788
1982-02-19,0.274955
1982-02-22,0.271289
1982-02-23,0.267622
1982-02-24,0.269455
1982-02-25,0.267622
1982-02-26,0.267622
1982-03-01,0.269455
1982-03-02,0.269455
1982-03-03,0.269455
1982-03-04,0.263956
1982-03-05,0.243793
1982-03-08,0.240127
1982-03-09,0.241960
1982-03-10,0.238294
1982-03-11,0.238294
1982-03-12,0.223630
1982-03-15,0.221797
1982-03-16,0.218131
1982-03-17,0.207132
1982-03-18,0.223630
1982-03-19,0.243793
1982-03-22,0.262124
1982-03-23,0.258457
1982-03-24,0.243793
1982-03-25,0.241960
1982-03-26,0.238294
1982-03-29,0.243793
1982-03-30,0.247459
1982-03-31,0.247459
1982-04-01,0.260290
1982-04-02,0.260290
1982-04-05,0.260290
1982-04-06,0.258457
1982-04-07,0.254791
1982-04-08,0.256624
1982-04-12,0.254791
1982-04-13,0.234628
1982-04-14,0.236461
1982-04-15,0.240127
1982-04-16,0.247459
1982-04-19,0.241960
1982-04-20,0.230962
1982-04-21,0.229129
1982-04-22,0.225463
1982-04-23,0.225463
1982-04-26,0.230962
1982-04-27,0.223630
1982-04-28,0.214465
1982-04-29,0.214465
1982-04-30,0.216298
1982-05-03,0.223630
1982-05-04,0.230962
1982-05-05,0.227296
1982-05-06,0.234628
1982-05-07,0.238294
1982-05-10,0.234628
1982-05-11,0.227296
1982-05-12,0.221797
1982-05-13,0.223630
1982-05-14,0.214465
1982-05-17,0.210798
1982-05-18,0.207132
1982-05-19,0.205299
1982-05-20,0.207132
1982-05-21,0.208966
1982-05-24,0.210798
1982-05-25,0.210798
1982-05-26,0.208966
1982-05-27,0.205299
1982-05-28,0.205299
1982-06-01,0.201633
1982-06-02,0.205299
1982-06-03,0.197967
1982-06-04,0.192468
1982-06-07,0.192468
1982-06-08,0.190635
1982-06-09,0.186969
1982-06-10,0.188802
1982-06-11,0.196134
1982-06-14,0.196134
1982-06-15,0.196134
1982-06-16,0.196134
1982-06-17,0.192468
1982-06-18,0.188802
1982-06-21,0.188802
1982-06-22,0.196134
1982-06-23,0.201633
1982-06-24,0.201633
1982-06-25,0.194301
1982-06-28,0.192468
1982-06-29,0.186969
1982-06-30,0.186969
1982-07-01,0.185136
1982-07-02,0.175971
1982-07-06,0.168639
1982-07-07,0.168639
1982-07-08,0.161307
1982-07-09,0.166806
1982-07-12,0.170472
1982-07-13,0.181470
1982-07-14,0.183303
1982-07-15,0.186969
1982-07-16,0.194301
1982-07-19,0.196134
1982-07-20,0.208966
1982-07-21,0.208966
1982-07-22,0.210798
1982-07-23,0.207132
1982-07-26,0.197967
1982-07-27,0.197967
1982-07-28,0.188802
1982-07-29,0.196134
1982-07-30,0.197967
1982-08-02,0.203466
1982-08-03,0.190635
1982-08-04,0.188802
1982-08-05,0.181470
1982-08-06,0.179637
1982-08-09,0.181470
1982-08-10,0.192468
1982-08-11,0.194301
1982-08-12,0.192468
1982-08-13,0.192468
1982-08-16,0.196134
1982-08-17,0.208966
1982-08-18,0.208966
1982-08-19,0.210798
1982-08-20,0.216298
1982-08-23,0.225463
1982-08-24,0.236461
1982-08-25,0.252958
1982-08-26,0.260290
1982-08-27,0.247459
1982-08-30,0.251125
1982-08-31,0.263956
1982-09-01,0.256624
1982-09-02,0.267622
1982-09-03,0.269455
1982-09-07,0.254791
1982-09-08,0.263956
1982-09-09,0.258457
1982-09-10,0.265790
1982-09-13,0.267622
1982-09-14,0.276788
1982-09-15,0.274955
1982-09-16,0.265790
1982-09-17,0.260290
1982-09-20,0.262124
1982-09-21,0.267622
1982-09-22,0.274955
1982-09-23,0.274955
1982-09-24,0.265790
1982-09-27,0.265790
1982-09-28,0.269455
1982-09-29,0.269455
1982-09-30,0.267622
1982-10-01,0.271289
1982-10-04,0.274955
1982-10-05,0.276788
1982-10-06,0.296951
1982-10-07,0.320780
1982-10-08,0.344610
1982-10-11,0.351942
1982-10-12,0.340944
1982-10-13,0.344610
1982-10-14,0.346443
1982-10-15,0.337278
1982-10-18,0.344610
1982-10-19,0.351942
1982-10-20,0.372105
1982-10-21,0.381270
1982-10-22,0.379437
1982-10-25,0.357441
1982-10-26,0.359274
1982-10-27,0.368439
1982-10-28,0.368439
1982-10-29,0.372105
1982-11-01,0.392269
1982-11-02,0.419764
1982-11-03,0.450926
1982-11-04,0.454591
1982-11-05,0.441760
1982-11-08,0.423430
1982-11-09,0.438094
1982-11-10,0.454591
1982-11-11,0.483920
1982-11-12,0.474755
1982-11-15,0.463757
1982-11-16,0.439927
1982-11-17,0.460091
1982-11-18,0.460091
1982-11-19,0.452758
1982-11-22,0.412432
1982-11-23,0.423430
1982-11-24,0.432595
1982-11-26,0.425263
1982-11-29,0.423430
1982-11-30,0.467423
1982-12-01,0.476588
1982-12-02,0.476588
1982-12-03,0.465590
1982-12-06,0.491252
1982-12-07,0.496751
1982-12-08,0.485753
1982-12-09,0.461924
1982-12-10,0.428929
1982-12-13,0.419764
1982-12-14,0.416098
1982-12-15,0.414265
1982-12-16,0.421597
1982-12-17,0.441760
1982-12-20,0.439927
